kanji,english,components,on_reading,kun_reading
先,before,cow; human legs,セン,さき; ま.ず
洗,wash,water; water droplets; water pistol; before; cow; human legs,セン,あら.う
介,jammed in,umbrella; stick; walking cane,カイ,
界,world,rice field; brains; jammed in; umbrella; stick; cane,カイ,
茶,tea,flowers; umbrella; wooden pole,チャ; サ,
脊,spinal column,I Ching; Master Po; umbrella; moon; month; flesh; part of the body,セキ,せ; せい
合,fit,meeting; umbrella; one; mouth,ゴウ; ガッ; カッ,あ.う; -あ.う; あ.い; あい-; -あ.い; -あい; あ.わす; あ.わせる; -あ.わせる
塔,pagoda,soil; dirt; ground; flowers; fit; meeting; umbrella; one; mouth,トウ,
王,king,jewel; ball,オウ; ノウ,
玉,jewel,king; ball; earring; drop,ギョク,たま; たま-; -だま
宝,treasure,house; king; jewel; ball; earring; drop,ホウ,たから
珠,pearl,king; jewel; ball; vermillion; drop; not yet; one; tree; wood,シュ,たま
現,present,king; jewel; ball; see; telescope; eye; human legs,ゲン,あらわ.れる; あらわ.す; うつつ; うつ.つ
玩,toy,king; jewel; ball; beginning; two; human legs,ガン,もちあそ.ぶ; もてあそ.ぶ
狂,lunatic,pack of wild dogs; king; jewel; ball,キョウ,くる.う; くる.おしい; くるお.しい
旺,effulgent,sun; day; king; jewel; ball,オウ; キョウ; ゴウ,かがや.き; うつくし.い; さかん
皇,emperor,white; dove; king; jewel; ball,コウ; オウ,
呈,display,mouth; king; jewel; ball,テイ,
全,whole,umbrella; king; jewel; ball,ゼン,まった.く; すべ.て
栓,plug,tree; wood; whole; umbrella; king; jewel; ball,セン,
理,logic,king; jewel; ball; computer,リ,ことわり
主,lord,drop; king; jewel; ball,シュ; ス; シュウ,ぬし; おも; あるじ
注,pour,water; water droplets; water pistol; candlestick; lord; drop; king; jewel; ball,チュウ,そそ.ぐ; さ.す; つ.ぐ
柱,pillar,tree; wood; candlestick; lord; drop; king; jewel; ball,チュウ,はしら
金,gold,metal; umbrella; drop; king; jewel; ball,キン; コン; ゴン,かね; かな-; -がね
銑,pig iron,pig-iron; metal; gold; before; cow; human legs,セン,
鉢,bowl,metal; gold; origin; book; tree; wood; one,ハチ; ハツ,
銅,copper,metal; gold; same; monks; hood; one; mouth,ドウ,あかがね
釣,angling,metal; gold; ladle; bound up; drop,チョウ,つ.る; つ.り; つ.り-
針,needle,metal; gold; ten,シン,はり
銘,inscription,metal; gold; name; evening; mouth,メイ,
鎮,tranquillize,tranquilize; metal; gold; true; truth; ten; needle; eye; tool; animal legs; eight,チン,しず.める; しず.まる; おさえ
道,road-way,neck; horns; drop; eye; road,ドウ; トウ,みち
導,guidance,neck; horns; drop; eye; road; glue,ドウ,みちび.く
辻,crossing,cross; ten; needle; road,,つじ
迅,swift,fishhook; cross; ten; needle; road,ジン,
造,create,revelation; cow; mouth; road,ゾウ,つく.る; つく.り; -づく.り
迫,urge,white; dove; road,ハク,せま.る
逃,escape,turtle; portent; road,トウ,に.げる; に.がす; のが.す; のが.れる
辺,environs,dagger; sword; road,ヘン,あた.り; ほと.り; -べ
巡,patrol,deluge; stream; flood; road,ジュン,めぐ.る; めぐ.り
車,car,sun; ten; needle,シャ,くるま
連,take along,car; road,レン,つら.なる; つら.ねる; つ.れる; -づ.れ
軌,rut,car; nine; baseball,キ,
輸,transport,car; meeting of butchers; umbrella; one; moon; month; flesh; part of the body; sword; sabre; saber,ユ; シュ,
喩,metaphor,,,
前,in front,horns; butcher; moon; month; flesh; part of the body; sword; sabre; saber,ゼン,まえ; -まえ
煎,roast,in front; horns; butcher; moon; month; flesh; part of the body; sword; sabre; saber; oven-fire; barbecue,セン,せん.じる; い.る; に.る
各,each,walking legs; mouth,カク,おのおの
格,status,tree; wood; each; walking legs; mouth,カク; コウ; キャク; ゴウ,
賂,graft,shellfish; clam; oyster; eye; animal legs; eight; each; walking legs; mouth,ロ,まいな.い; まいな.う
略,abbreviation,rice field; brains; each; walking legs; mouth,リャク,ほぼ; おか.す; おさ.める; はかりごと; はか.る; はぶ.く; りゃく.す; りゃく.する
客,guest,house; each; walking legs; mouth,キャク; カク,
額,forehead,guest; house; each; walking legs; mouth; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガク,ひたい
夏,summer,one; ceiling; drop; eye; walking legs,カ; ガ; ゲ,なつ
