kanji,english,components,on_reading,kun_reading
欧,Europe,europe; ward; box; sheaf; lack; yawn,オウ,うた.う; は.く
抑,repress,finger; fingers; stamp album; box; stamps,ヨク,おさ.える
仰,faceup,face up; person; stamp album; box; stamps,ギョウ; コウ,あお.ぐ; おお.せ; お.っしゃる; おっしゃ.る
迎,welcome,stamp album; box; stamps; road,ゲイ,むか.える
登,ascend,teepee; wigwam; beans; table; one; mouth,トウ; ト; ドウ; ショウ; チョウ,のぼ.る; あ.がる
澄,lucidity,water; water droplets; water pistol; ascend; teepee; wigwam; beans; table; one; mouth,チョウ,す.む; す.ます; -す.ます
発,discharge,teepee; wigwam; two; human legs,ハツ; ホツ,た.つ; あば.く; おこ.る; つか.わす; はな.つ
廃,abolish,cave; dicharge; teepee; wigwam; two; human legs,ハイ,すた.れる; すた.る
僚,colleague,person; pup tent; large; St. Bernard; sun; day; small; little,リョウ,
瞭,obvious,eye; pup tent; large; St. Bernard; sun; day; small; little,リョウ,あきらか
寮,dormitory,house; pup tent; large; St. Bernard; sun; day; small; little,リョウ,
療,heal,sickness; hospital; pup tent; large; St. Bernard; sun; day; small; little,リョウ,
彫,carve,circumference; running track; glass hood; earthenware jar; lidded crock; soil; dirt; ground; mouth; shape,チョウ,ほ.る; -ぼ.り
形,shape,two hands,ケイ; ギョウ,かた; -がた; かたち; なり
影,shadow,scenery; sun; day; capital; tall; top hat; mouth; small; little; shape,エイ,かげ
杉,cedar,tree; wood; shape,サン,すぎ
彩,coloring,claw; vulture; grab; tree; wood; shape,サイ,いろど.る
彰,patent,badge; vase; stand up; sunflower; early; sun; day; ten; needle; shape,ショウ,
彦,lad,vase; stand up; cliff; shape,ゲン,ひこ
顔,face,lad; vase; stand up; cliff; shape; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,かお
須,ought,shape; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ス; シュ,すべから.く; すべし; ひげ; まつ; もち.いる; もと.める
膨,swell,moon; month; flesh; part of the body; drum; samurai; beans; table; one; mouth; shape,ボウ,ふく.らむ; ふく.れる
参,visit,nonplussed; elbow; large; St. Bernard; shape,サン; シン,まい.る; まい-; まじわる; みつ
惨,wretched,Freud; state of mind; nonplussed; visit; elbow; large; St. Bernard; shape,サン; ザン,みじ.め; いた.む; むご.い
修,discipline,person; stick; fred astaire; taskmaster; shape,シュウ; シュ,おさ.める; おさ.まる
珍,rare,king; jewel; ball; parasol; umbrella; shape,チン,めずら.しい; たから
診,checkup,check up; say; words; keitai; mouth; parasol; umbrella; shape,シン,み.る
文,sentence,plaid; kilt; Billy Connolly,ブン; モン,ふみ; あや
対,vis-a-vis,sentence; plaid; kilt; Billy Connolly; glue,タイ; ツイ,あいて; こた.える; そろ.い; つれあ.い; なら.ぶ; むか.う
紋,family crest,thread; spiderman; sentence; plaid; kilt; Billy Connolly,モン,
蚊,mosquito,insect; sentence; sentence; plaid; kilt; Billy Connolly,ブン,か
斑,speckled,king; jewel; ball; sentence; plaid; kilt; Billy Connolly,ハン,ふ; まだら
斉,adjusted,sentence; plaid; kilt; Billy Connolly; two; fenceposts; cabers,セイ; サイ,そろ.う; ひと.しい; ひと.しく; あたる; はやい
剤,dose,adjust; adjusted; sentence; plaid; kilt; Billy Connolly; two; fenceposts; cabers; sword; sabre; saber,ザイ; スイ; セイ,かる; けず.る
済,finish,water; water droplets; water pistol; adjust; adjusted; sentence; plaid; kilt; Billy Connolly; two; fenceposts; cabers,サイ; セイ,す.む; -ず.み; -ずみ; す.まない; す.ます; -す.ます; すく.う; な.す; わたし; わた.る
斎,purification,sentence; plaid; kilt; Billy Connolly; fenceposts; cabers; altar; show; two; small,サイ,とき; つつし.む; ものいみ; い.む; いわ.う; いつ.く
粛,solemn,rake; fenceposts; cabers; rice,シュク; スク,つつし.む
塁,bases,rice field; brains; sparkler; soil; dirt; ground,ルイ; ライ; スイ,とりで
楽,music,white; dove; sparkler; tree; wood,ガク; ラク; ゴウ,たの.しい; たの.しむ; この.む
薬,medicine,flowers; music; white; dove; sparkler; tree; wood,ヤク,くすり
率,ratio,mysterious; question mark; top hat; cocoon; sparkler; ten; needle,ソツ; リツ; シュツ,ひき.いる
渋,astringent,water; water droplets; water pistol; stop; footprint; sparkler,ジュウ; シュウ,しぶ; しぶ.い; しぶ.る
摂,vicarious,finger; fingers; ear; sparkler,セツ; ショウ,おさ.める; かね.る; と.る
央,center,large; St. Bernard; box body,オウ,
英,England,flowers; centre; center; large; St. Bernard,エイ,はなぶさ
映,reflect,sun; day; centre; center; large; St. Bernard,エイ,うつ.る; うつ.す; は.える; -ば.え
赤,red,soil; dirt; ground; sword; dagger; small,セキ; シャク,あか; あか-; あか.い; あか.らむ; あか.らめる
赦,pardon,red; taskmaster,シャ,
変,unusual,apple; walking legs,ヘン,か.わる; か.わり; か.える
跡,tracks,wooden leg; mouth; stop; footprint; apple,セキ,あと
蛮,barbarian,apple; insect,バン,えびす
恋,romance,apple; heart,レン,こ.う; こい; こい.しい
湾,gulf,water; water droplets; water pistol; apple; bow,ワン,いりえ
黄,yellow,salad; sprout; shoot; animal legs; eight,コウ; オウ,き; こ-
横,sideways,tree; wood; yellow; salad; sprout; shoot; animal legs; eight,オウ,よこ
把,grasp,finger; fingers; mosaic,ハ; ワ,
色,color,bound up; mosaic,ショク; シキ,いろ
絶,discontinue,thread; spiderman; colour; color; bound up; mosaic,ゼツ,た.える; た.やす; た.つ
艶,glossy,bountiful; bend; beans; table; one; mouth; colour; color; bound up; mosaic,エン,つや; なま.めかしい; あで.やか; つや.めく; なま.めく
肥,fertilizer,moon; month; flesh; part of the body; mosaic,ヒ,こ.える; こえ; こ.やす; こ.やし; ふと.る
甘,sweet,wicker basket; picnic basket,カン,あま.い; あま.える; あま.やかす; うま.い
紺,navy blue,thread; spiderman; sweet; wicker basket; picnic basket,コン,
某,so-and-so,sweet; wicker basket; picnic basket; tree; wood,ボウ,それがし; なにがし
謀,conspire,say; words; keitai; mouth; so-and-so; sweet; wicker basket; picnic basket; tree; wood,ボウ; ム,はか.る; たばか.る; はかりごと
媒,mediator,woman; so-and-so; sweet; wicker basket; picnic basket; tree; wood,バイ,なこうど
欺,deceit,bushel basket; hamper; animal legs; eight; lack; yawn,ギ,あざむ.く
棋,chess piece,tree; wood; bushel basket; hamper; animal legs; eight,キ,ご
旗,national flag,banner; compass; direction reclining; lying down; bushel basket; hamper; animal legs; eight,キ,はた
期,period,bushel basket; hamper; animal legs; eight; moon; month; flesh; part of the body,キ; ゴ,
碁,Go,go; bushel basket; hamper; animal legs; eight; stone; rock,ゴ,
基,fundamentals,bushel basket; hamper; animal legs; eight; soil; dirt; ground,キ,もと; もとい
甚,tremendously,bushel basket; hamper; equal; human legs,ジン,はなは.だ; はなは.だしい
勘,intuition,tremendously; bushel basket; hamper; equal; human legs; power; muscle; arnold,カン,
堪,withstand,soil; dirt; ground; tremendously; bushel basket; hamper; equal; human legs,カン; タン,た.える; たま.る; こ.らえる; こた.える
貴,precious,Takanohana; purse; in; one; floor; shellfish; clam; oyster; eye; animal legs; eight,キ,たっと.い; とうと.い; たっと.ぶ; とうと.ぶ
遺,bequeath,precious; Takanohana; purse; in; one; floor; shellfish; clam; oyster; eye; animal legs; eight; road,イ; ユイ,のこ.す
遣,dispatch,purse; in; one; floor; maestro without baton; road,ケン,つか.う; -つか.い; -づか.い; つか.わす; や.る
潰,defile,water; water droplets; water pistol; precious; Takanohana; purse; in; one; floor; shellfish; clam; oyster; eye; animal legs; eight,カイ; エ,つぶ.す; つぶ.れる; つい.える
舞,dance,reclining; lying down; tub; sunglasses; dancing legs; ballerina; evening,ブ,ま.う; -ま.う; まい
無,nothingness,reclining; lying down; tub; oven-fire; barbecue,ム; ブ,な.い
組,association,thread; spiderman; shelf; my bookshelves,ソ,く.む; くみ; -ぐみ
粗,coarse,rice; shelf; my bookshelves,ソ,あら.い; あら-
租,tariff,wheat; cereal; shelf; my bookshelves,ソ,
狙,aim at,pack of wild dogs; shelf; my bookshelves,ソ; ショ,ねら.う; ねら.い
祖,ancestor,altar; shelf; my bookshelves,ソ,
阻,thwart,pinnacle; parthenon; acropolis; shelf; my bookshelves,ソ,はば.む
査,investigate,tree; wood; shelf; my bookshelves,サ,
助,help,shelf; my bookshelves; power; muscle; arnold,ジョ,たす.ける; たす.かる; す.ける; すけ
宜,best regards,house; shelf; my bookshelves,ギ,よろ.しい; よろ.しく
畳,tatami mat,rice field; brains; crown; shelf; my bookshelves,ジョウ; チョウ,たた.む; たたみ; かさ.なる
並,row,,ヘイ; ホウ,な.み; なら.べる; なら.ぶ; なら.びに
普,universal,row; sun; day,フ,あまね.く; あまねし
譜,musical score,say; words; keitai; mouth; universal; row; sun; day,フ,
湿,damp,water; water droplets; water pistol; sun; day; row,シツ; シュウ,しめ.る; しめ.す; うるお.う; うるお.す
顕,appear,sun; day; row; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ケン,あきらか; あらわ.れる
繊,slender,thread; spiderman; Thanksgiving; harvest festival; ten; needle; fiesta; row,セン,
霊,spirits,rain; weather; two; row,レイ; リョウ,たま
業,profession,business; upside down in a row; not yet; tree; wood,ギョウ; ゴウ,わざ
撲,slap,finger; fingers; upside down in a row; husband,ボク,
僕,me,person; upside down in a row; husband,ボク,しもべ
共,together,salad; animal legs; eight,キョウ,とも; とも.に; -ども
供,submit,person; strung together; salad; animal legs; eight,キョウ; ク; クウ; グ,そな.える; とも; -ども
異,uncommon,rice field; brains; strung together; salad; animal legs; eight,イ,こと; こと.なる; け
翼,wing,feathers; wings; uncommon; rice field; brains; strung together; salad; animal legs; eight,ヨク,つばさ
戴,accept humbly,Thanksgiving; harvest festival; ten; needle; fiesta; uncommon; rice field; brains; strung together; salad; animal legs; eight,タイ,いただ.く
洪,deluge,water; water droplets; water pistol; strung together; salad; animal legs; eight,コウ,
港,harbor,deluge; water; water droplets; water pistol; scene; strung together; salad; animal legs; eight; snake; self,コウ,みなと
暴,outburst,sun; day; strung together; salad; animal legs; eight; grains of rice,ボウ; バク,あば.く; あば.れる
爆,bomb,fire; outburst; strung together; salad; animal legs; eight; grains of rice,バク,は.ぜる
恭,respect,strung together; salad; animal legs; eight; valentine,キョウ,うやうや.しい
選,elect,southeast; snake; self; strung together; salad; animal legs; eight; road,セン,えら.ぶ
殿,Mr.,Mr; flag; strung together; salad; animal legs; eight; cruise missile; missile; wind; crotch,デン; テン,との; -どの
井,well,,セイ; ショウ,い
丼,donburi,well; drop,トン; タン; ショウ; セイ,どんぶり
囲,surround,pent in; well,イ,かこ.む; かこ.う; かこ.い
耕,till,christmas tree; well,コウ,たがや.す
亜,Asia,roman two; mouth,ア; アシア,つ.ぐ
悪,bad,Asia; roman two; mouth; heart,アク; オ,わる.い; わる-; あ.し; にく.い; -にく.い; ああ; いずくに; いずくんぞ; にく.む
円,circle,yen,エン,まる.い; まる; まど; まど.か; まろ.やか
角,angle,bound up; glass canopy; hood; walking cane; stick; two,カク,かど; つの
触,contact,angle; bound up; glass canopy; hood; walking cane; stick; two; insect,ショク,ふ.れる; さわ.る; さわ
解,unravel,angle; bound up; glass canopy; hood; walking cane; stick; two; sword; dagger; cow,カイ; ゲ,と.く; と.かす; と.ける; ほど.く; ほど.ける; わか.る; さと.る
再,again,king; jewel; ball; belt,サイ; サ,ふたた.び
講,lecture,say; words; keitai; mouth; funnel; cone; celery; again,コウ,
購,subscription,shellfish; clam; oyster; eye; animal legs; eight; funnel; cone; celery; again,コウ,
構,posture,tree; wood; funnel; cone; celery; again,コウ,かま.える; かま.う
溝,gutter,water; water droplets; water pistol; funnel; cone; celery; again,コウ,みぞ
論,argument,say; words; keitai; mouth; post-it note; meeting; scrapbook; glass canopy; hood; flowers,ロン,
倫,ethics,person; post-it note; meeting; scrapbook; glass canopy; hood; flowers,リン,
輪,wheel,car; post-it note; meeting; scrapbook; glass canopy; hood; flowers,リン,わ
偏,partial,person; fishfinger; door; one; ceiling; flag; scrapbook; glass canopy; hood; flowers,ヘン,かたよ.る
遍,everywhere,fishfinger; door; one; ceiling; flag; scrapbook; glass canopy; hood; flowers; road,ヘン,あまね.く
編,compilation,thread; spiderman; fishfinger; door; one; ceiling; flag; scrapbook; glass canopy; hood; flowers,ヘン,あ.む; -あ.み
冊,tome,,サツ; サク,ふみ
柵,palisade,tree; wood; tome,サク; サン,しがら.む; しがらみ; とりで; やらい
典,code,bend; tool,テン; デン,
氏,family name,drop; fishhook,シ,うじ; -うじ
紙,paper,thread; spiderman; family name,シ,かみ
婚,marriage,woman; dusk; family name; day,コン,
低,lower,person; calling card; family name; one; floor,テイ,ひく.い; ひく.める; ひく.まる
抵,resist,finger; fingers; calling card; family name; one; floor,テイ,
底,bottom,cave; calling card; family name; one; floor,テイ,そこ
民,people,mouth; family name,ミン,たみ
眠,sleep,eye; people; mouth; family name,ミン,ねむ.る; ねむ.い
捕,catch,finger; fingers; dog-tag; arrowhead; screwdriver; utilize; utilise,ホ,と.らえる; と.らわれる; と.る; とら.える; とら.われる; つか.まえる; つか.まる
哺,suckle,,ホ,はぐく.む; ふく.む
浦,bay,water; water droplets; water pistol; dog-tag; arrowhead; screwdriver; utilize; utilise,ホ,うら
蒲,bullrush,bulrush; flowers; bay; water; water droplets; water pistol; dog-tag; arrowhead; screwdriver; utilize; utilise,ホ; ボ; フ; ブ,がま; かば; かま
舗,shop,cottage; little-thatch; umbrella; earthenware jar; lidded crock; soil; dirt; ground; mouth; dog-tag; arrowhead; screwdriver; utilize; utilise,ホ,
補,supplement,cloak; dog-tag; arrowhead; screwdriver; utilize; utilise,ホ,おぎな.う
邸,residence,calling card; family name; one; floor; city walls,テイ,やしき
郭,enclosure,receive; tall; top hat; mouth; child; children; city walls,カク,くるわ
郡,county,old boy; mop; mouth; city walls,グン,こうり
郊,outskirts,mingle; top hat; father; city walls,コウ,
部,section,muzzle; vase; stand up; mouth; city walls,ブ,-べ
都,metropolis,someone; puppet; sooty; old man; sun; day; city walls,ト; ツ,みやこ
郵,mail,droop; silage; city walls,ユウ,
邦,home country,bushes; city walls,ホウ,くに
那,interrogative,sword; dagger; two; city walls,ナ; ダ,なに; なんぞ; いかん
郷,hometown,home town; cocoon; silver; city walls,キョウ; ゴウ,さと
響,echo,home town; cocoon; silver; city walls; sound; vase; stand up; sun; day; tongue wagging,キョウ,ひび.く
郎,son,halo; good; drop; silver; city walls,ロウ; リョウ,おとこ
廊,corridor,cave; son; halo; good; drop; silver; city walls,ロウ,
盾,shield,drag; ten; needle; eye,ジュン,たて
循,sequential,Nelson; column; going; line; shield; drag; ten; needle; eye,ジュン,
派,faction,water; water droplets; water pistol; caveman; drag; person; rag,ハ,
脈,vein,moon; month; flesh; part of the body; caveman; drag; person; rag,ミャク,すじ
衆,masses,blood; drop; dish; Carol in rags person; rag,シュウ; シュ,おお.い
逓,parcel post,drag; cornstalk; belt; road,テイ,かわ.る; たがいに
段,grade,staple gun; cruise missile; missile; wind; crotch,ダン; タン,
鍛,forge,metal; gold; grade; staple gun; cruise missile; missile; wind; crotch,タン,きた.える
后,empress,drag; one; ceiling; mouth,コウ; ゴ,きさき
幻,phantasm,cocoon; clothes hanger; coat hanger,ゲン,まぼろし
司,director,clothes hanger; coat hanger; one; mouth,シ,つかさど.る
伺,pay respects,person; director; Ken Russel; clothes hanger; coat hanger; one; mouth,シ,うかが.う
詞,parts of speech,part of speech; say; words; keitai; mouth; director; Ken Russel; clothes hanger; coat hanger; one; mouth,シ,
飼,domesticate,eat; food; umbrella; good; halo; drop; silver; director; Ken Russel; clothes hanger; coat hanger; one; mouth,シ,か.う
嗣,heir,mouth; scrapbook; glass canopy; hood; flowers; director; Ken Russel; clothes hanger; coat hanger; one; mouth,シ,
舟,boat,,シュウ,ふね; ふな-; -ぶね
舶,liner,boat; white; dove,ハク,
航,navigate,boat; whirlwind; top hat; wind,コウ,
舷,gunwale,boat; mysterious; top hat; cocoon,ゲン,ふなべい; ふなばた
般,carrier,boat; cruise missile; missile; wind; crotch,ハン,
盤,tray,carrier; boat; cruise missile; missile; wind; crotch; dish,バン,
搬,conveyor,finger; fingers; carrier; boat; cruise missile; missile; wind; crotch,ハン,
船,ship,boat; gully; eight; mouth,セン,ふね; ふな-
艦,warship,boat; oversee; retainer; slave; reclining; lying down; one; floor; dish,カン,
艇,rowboat,boat; courts; porter; drop; samurai; stretch,テイ,
瓜,melon,claw; vulture; elbow,カ; ケ,うり
弧,arc,bow; melon; claw; vulture; elbow,コ,
孤,orphan,child; melon; claw; vulture; elbow,コ,
繭,cocoon,flowers; hood; stick; thread; spiderman; insect,ケン,まゆ; きぬ
益,benefit,animal horns; one; floor; animal legs; eight; dish,エキ; ヤク,ま.す
暇,spare time,sun; day; hobby; staples; mouth; box; crotch,カ,ひま; いとま
敷,spread,arrowhead; rice field; brains; compass; direction; taskmaster,フ,し.く; -し.き
来,come,not yet; animal horns,ライ; タイ,く.る; きた.る; きた.す; き.たす; き.たる; き; こ
気,spirit,landed fish; reclining; lying down; one; floor; fishhook; sheaf,キ; ケ,いき
汽,vapor,water; water droplets; water pistol; landed fish; reclining; lying down; one; floor; fishhook,キ,
飛,fly,hook; propeller; measuring box; thousand; needles,ヒ,と.ぶ; と.ばす; -と.ばす
沈,sink,water; water droplets; water pistol; garter; crown; human legs,チン; ジン,しず.む; しず.める
枕,pillow,tree; wood; garter; crown; human legs,チン; シン,まくら
妻,wife,ten; needle; rake; woman,サイ,つま
凄,nifty,ice; wife; ten; needle; rake; woman,セイ; サイ,さむ.い; すご.い; すさ.まじい
衰,decline,pathetic; stick; top hat; scarf; mouth,スイ,おとろ.える
衷,inmost,ten; needle; mouth; scarf,チュウ,
面,mask,hundred; one; ceiling; drop; pent in; eye,メン; ベン,おも; おもて; つら
麺,noodles,barley; grow up; walking legs; mask; hundred; one; ceiling; drop; pent in; eye,メン; ベン,むぎこ
革,leather,flowers; car; mouth; ten; needle,カク,かわ
靴,shoes,leather; flowers; car; mouth; ten; needle; change; person; spoon; sitting on the ground,カ,くつ
覇,hegemony,old west; leather; flowers; car; mouth; ten; needle; moon; month; flesh; part of the body,ハ; ハク,はたがしら
声,voice,samurai; flag; stick,セイ; ショウ,こえ; こわ-
眉,eyebrow,flag; stick; eye,ビ; ミ,まゆ
呉,give,mouth; chair; tool; animal legs,ゴ,く.れる; くれ
娯,recreation,woman; give; mouth; chair; tool; animal legs,ゴ,
誤,mistake,say; words; keitai; mouth; give; mouth; chair; tool; animal legs,ゴ,あやま.る; -あやま.る
蒸,steam,flowers; helping hand; complete; water; one; floor; oven-fire; barbecue,ジョウ; セイ,む.す; む.れる; む.らす
承,acquiesce,water; complete; three,ショウ; ジョウ,うけたまわ.る; う.ける; ささ.げる; とど.める; たす.ける; こ.らす; つい.で; すく.う
函,bin,snare; sparkler; shovel,カン,はこ; い.れる
極,poles,decay; tree; wood; snare; mouth; crotch; one; floor,キョク; ゴク,きわ.める; きわ.まる; きわ.まり; きわ.み; き.める; -ぎ.め; き.まる
牙,tusk,,ガ; ゲ,きば; は; きばへん
芽,bud,flowers; tusk,ガ,め
邪,wicked,tusk; city walls,ジャ,よこし.ま
雅,gracious,tusk; turkey,ガ,みや.び
釈,interpretation,animal tracks; drop; rice; shaku-hachi; flag; stick,シャク; セキ,とく; す.てる; ゆる.す
番,turn,dice; animal tracks; drop; rice; rice field; brains,バン,つが.い
審,hearing,house; dice; animal tracks; drop; rice; rice field; brains,シン,つまび.らか; つぶさ.に
翻,flip,dice; animal tracks; drop; rice; rice field; brains; feathers; wings,ホン; ハン,ひるがえ.る; ひるがえ.す
藩,clan,flowers; water; water droplets; water pistol; dice; animal tracks; drop; rice; rice field; brains,ハン,
毛,fur,,モウ,け
耗,decrease,christmas tree; fur,モウ; コウ; カウ,
尾,tail,flag; fur,ビ,お
宅,home,house; lock of hair,タク,
託,consign,say; words; keitai; mouth; lock of hair,タク,かこつ.ける; かこ.つ; かこ.つける
為,do,so; strange building; tail feathers,イ,ため; な.る; な.す; す.る; たり; つく.る; なり
偽,falsehood,person; do; so; strange building; tail feathers,ギ; カ,いつわ.る; にせ; いつわ.り
畏,apprehensive,rice field; brains; hairpin; safety-pin,イ,おそ.れる; かしこ.まる; かしこ; かしこ.し
長,long,hair; hairpin; safety-pin,チョウ,なが.い; おさ
張,lengthen,bow; long,チョウ,は.る; -は.り; -ば.り
帳,notebook,towel; long,チョウ,とばり
脹,dilate,moon; month; flesh; part of the body; long,チョウ,は.れる; ふく.らむ; ふく.れる
髪,hair of the head,hairstyle; hair; shape; friend,ハツ,かみ
展,unfold,flag; salad; hairpin; safety-pin,テン,
喪,miss,soil; dirt; ground; mouth; hairpin; safety-pin,ソウ,も
巣,nest,owl; fruit; rice field; brains; tree; wood,ソウ,す; す.くう
単,simple,owl; rice field; brains; ten; needle,タン,ひとえ
戦,war,simple; owl; rice field; brains; ten; needle; fiesta,セン,いくさ; たたか.う; おのの.く; そよぐ; わなな.く
禅,Zen,zen; altar; simple; owl; rice field; brains; ten; needle,ゼン; セン,しずか; ゆず.る
弾,bullet,bow; simple; owl; rice field; brains; ten; needle,ダン; タン,ひ.く; -ひ.き; はず.む; たま; はじ.く; はじ.ける; ただ.す; はじ.きゆみ
桜,cherry tree,tree; wood; owl; woman,オウ; ヨウ,さくら
獣,animal,owl; rice field; brains; one; mouth; chihuahua; dog; large; drop,ジュウ,けもの; けだもの
脳,brain,moon; month; flesh; part of the body; owl; villain; sheaf; shovel,ノウ; ドウ,のうずる
悩,trouble,Freud; state of mind; owl; villain; sheaf; shovel,ノウ,なや.む; なや.ます; なや.ましい; なやみ
厳,stern,owl; cliff; daring; spike; ear; taskmaster,ゲン; ゴン,おごそ.か; きび.しい; いか.めしい; いつくし
鎖,chain,metal; gold; small; shellfish; clam; oyster; eye; animal legs; eight,サ,くさり; とざ.す
挙,raise,owl; tool; hand,キョ,あ.げる; あ.がる; こぞ.る
誉,reputation,owl; tool; say; words; keitai; mouth,ヨ,ほま.れ; ほ.める
猟,game hunting,pack of wild dogs; anemometer; owl; wind; cornstalk,リョウ; レフ,かり; か.る
鳥,bird,white; dove; one; tail feathers,チョウ,とり
鳴,chirp,mouth; bird,メイ,な.く; な.る; な.らす
鶴,crane,turkey house; bird,カク,つる
烏,crow,drop; mouth; one; tail feathers,ウ; オ,からす; いずくんぞ; なんぞ
蔦,vine,flowers; bird,チョウ,つた
鳩,pigeon,nine; baseball; bird,キュウ; ク,はと; あつ.める
鶏,chicken,claw; vulture; husband; bird,ケイ,にわとり; とり
島,island,bird; mountain,トウ,しま
暖,warmth,sun; day; migrating ducks; claw; vulture; one; friend,ダン; ノン,あたた.か; あたた.かい; あたた.まる; あたた.める
媛,beautiful woman,woman; migrating ducks; claw; vulture; one; friend,エン,ひめ
援,abet,finger; fingers; migrating ducks; claw; vulture; one; friend,エン,
緩,slacken,thread; spiderman; migrating ducks; claw; vulture; one; friend,カン,ゆる.い; ゆる.やか; ゆる.む; ゆる.める
属,belong,flag; gnats; drop; insect; belt,ゾク; ショク,さかん; つく; やから
嘱,entrust,mouth; belong; flag; gnats; drop; insect; belt,ショク,しょく.する; たの.む
偶,accidentally,person; talking cricket; brains; insect; belt,グウ,たま
遇,interview,talking cricket; brains; insect; belt; road,グウ,あ.う
愚,foolish,talking cricket; brains; insect; belt; heart,グ,おろ.か
隅,corner,pinnacle; parthenon; acropolis; talking cricket; brains; insect; belt,グウ,すみ
逆,inverted,mountain goat; horns; mountain; road,ギャク; ゲキ,さか; さか.さ; さか.らう
塑,model,first day of the month; mountain goat; horns; mountain; moon; month; flesh; part of the body; soil; dirt; ground,ソ,でく
遡,go upstream,first day of the month; mountain goat; horns; mountain; moon; month; flesh; part of the body; road,ソ; サク,さかのぼ.る
岡,Mount,mount; glass canopy; hood; mountain goat; horns; mountain,コウ,おか
鋼,steel,metal; gold; mount,コウ,はがね
綱,hawser,thread; spiderman; mount,コウ,つな
剛,sturdy,mount; sword; sabre; saber,ゴウ,
缶,tin can,noon; sign of the horse; shovel,カン,かま
陶,pottery,pinnacle; parthenon; acropolis; bound up; tin can; noon; sign of the horse; shovel,トウ,
揺,swing,finger; fingers; condor; claw; vulture; king; mountain,ヨウ,ゆ.れる; ゆ.る; ゆ.らぐ; ゆ.るぐ; ゆ.する; ゆ.さぶる; ゆ.すぶる; うご.く
謡,Noh chanting,noh chanting; say; words; keitai; mouth; condor; claw; vulture; king; mountain,ヨウ,うた.い; うた.う
鬱,gloom,,ウツ,うっ.する; しげ.る; ふさ.ぐ
就,concerning,capital; tall; top hat; mouth; small; little; understandably; chihuahua with one human leg,シュウ; ジュ,つ.く; つ.ける
蹴,kick,wooden leg; mouth; stop; footprint; concerning; capital; tall; top hat; mouth; small; little; understandably; chihuahua with one human leg,シュク; シュウ,け.る
懇,sociable,skunk; silver; heart,コン,ねんご.ろ
墾,groundbreaking,skunk; silver; soil; dirt; ground,コン,
貌,countenance,skunk; badger; white; dove; human legs,ボウ; バク,かたち; かたどる
免,excuse,village stocks; rabbit; bound up; human legs,メン,まぬか.れる; まぬが.れる
逸,elude,deviate; village stocks; rabbit; bound up; human legs; road,イツ,そ.れる; そ.らす; はぐ.れる
晩,nightfall,sun; day; village stocks; rabbit; bound up; human legs,バン,
勉,exertion,village stocks; rabbit; bound up; human legs; power; muscle; arnold,ベン,つと.める
象,elephant,colour; color; bound up; sow; pig,ショウ; ゾウ,かたど.る
像,statue,person; elephant; colour; color; bound up; sow; pig,ゾウ,
馬,horse,team of horses,バ,うま; うま-; ま
駒,pony,team of horses; phrase; bound up; mouth,ク,こま
験,verification,team of horses; awl; fit; meeting; umbrella; mouth; person,ケン; ゲン,あかし; しるし; ため.す; ためし
騎,equestrian,team of horses; strange; large; St. Bernard; street; nail; spike; mouth,キ,
駐,parking,stop-over; team of horses; candlestick; lord; drop; king; jewel; ball,チュウ,
駆,drive,team of horses; ward; box; sheaf,ク,か.ける; か.る
駅,station,team of horses; shaku-hachi; flag; stick,エキ,
騒,boisterous,team of horses; crotch; insect,ソウ,さわ.ぐ; うれい; さわ.がしい
駄,burdensome,team of horses; plump; large; St. Bernard; drop,ダ; タ,
驚,wonder,awe; flowers; phrase; bound up; mouth; taskmaster; team of horses,キョウ,おどろ.く; おどろ.かす
篤,fervent,bamboo; team of horses,トク,あつ.い
罵,insult,eye; cross-eyed; net; team of horses,バ,ののし.る
騰,inflation,edam; moon; month; flesh; part of the body; quarter; team of horses,トウ,
虎,tiger,magic wand; augury; cliff; hook; diced; seven; human legs,コ,とら
虜,captive,tiger; male; rice field; brains; power; muscle; arnold,リョ; ロ,とりこ; とりく
膚,skin,tiger; stomach; rice field; brains; moon; month; flesh; part of the body,フ,はだ
虚,void,tiger; row,キョ; コ,むな.しい; うつ.ろ
戯,frolic,void; tiger; row; fiesta,ギ; ゲ,たわむ.れる; ざ.れる; じゃ.れる
虞,uneasiness,tiger; give; mouth; chair; tool,グ,おそれ; おもんぱか.る; はか.る; うれ.える; あざむ.く; あやま.る; のぞ.む; たの.しむ
慮,prudence,tiger; think; rice field; brains; heart,リョ,おもんぱく.る; おもんぱか.る
劇,drama,tiger; sow; pig; sword; sabre; saber,ゲキ,
虐,tyrannize,tiger; one; box,ギャク,しいた.げる
鹿,deer,cave; antlers; compare; spoon; sitting on the ground,ロク,しか; か
麓,foot of a mountain,grove; tree; wood; deer; cave; antlers; compare; spoon; sitting on the ground,ロク,ふもと
薦,recommend,flowers; deer; cave; antlers; slingshot; catapult; tail feathers,セン,すす.める
慶,jubilation,deer; cave; antlers; crown; heart; walking legs,ケイ,よろこ.び
麗,lovely,one; ceiling; mediocre; deer; cave; antlers; compare,レイ,うるわ.しい; うら.らか
