# Turkish-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T22:00:54+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
Abhazya	Abkhazia
yelkenli	sailing ship
yer	place ; location
yetim	orphan
yeşim	jade
yokuş	ascent
yolsuzluk	corruption
yumurtalık	ovary
zeytin	olive
zirkonyum	zirconium
zodyak	zodiac
zooloji	zoology
zürafa	giraffe
zýpkýn	harpoon
zýt zerre	antiparticle
Åland	Åland Islands
Çad	Chad ; Republic of Chad
Çek Cumhuriyeti	Czech Republic ; Czechia
Çekçe	Czech ; Czech
Çin	People's Republic of China ; China
Ürdün	Jordan ; Hashemite Kingdom of Jordan
çabuk	wiki
çalar saat	alarm clock
çalgı	instrument ; musical instrument
çarşamba	Wednesday ; quarta-feira
çatal	fork
çatı ; örtü	roof ; roof ; roof
çay	tea
çekmek	attract
çeviri	translation
çeşitli	assorted
çikolata	chocolate
çilek	strawberry
çinko	zinc
çita	cheetah ; chetah
çiş ; idrar ; sidik	urine
çoban	shepherd
çocuk doktoru	paediatrician
çok iddialı	assertive
çok istekli	avid
çıkış	ascent
önlemek	avert
ördek	duck
örümcek	spider
örümcek ağı	web ; spider web
özgürlük	freedom ; liberty
öğretmen	teacher
üstünlük	ascendancy
İdam cezası	death penalty ; capital punishment ; death sentence
İdil	Volga
İlyada	Iliad
İngilizce	English
İngiltere	England
İran	Iran ; Islamic Republic of Iran
İrlanda	Ireland ; Republic of Ireland
İskoçya	Scotland
İspanyolca	Castilian ; Spanish ; Spanish
İsrail	Israel ; State of Israel
İsveççe	Swedish
İsviçre	Switzerland
İtalya	Italian Republic ; Italy
İtalyanca	Italian ; Italian
İzlanda	Iceland ; Republic of Iceland
İzlandaca	Icelandic
ıdeoloji	ideology
Şili	Chile ; Republic of Chile
şarap	wine
şatranç ; шахи	chess
şaşırmış	aback
şaşırtmak	astonish
şaşırtıcı	astonishing
şaşırtıcı	astounding
şebek	baboon
şempaze	chimpanzee
صحرائے اعظم	sahara
ศูนย์	zero ; null
turkish	english
